Año,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
2006,952.5125,952.8000000000001,953.98125,954.7516129032258,956.303125,957.167741935484,957.00625,956.496875,957.1354838709677,956.3125,954.3806451612903,954.5
2007,952.71875,954.2862068965517,953.88125,956.0870967741936,957.01875,958.074193548387,959.65625,959.59375,957.6322580645161,956.509375,954.483870967742,954.603125
2008,952.803125,953.95,954.390625,954.667741935484,956.696875,958.0,958.0375,958.38125,957.425806451613,957.046875,955.1548387096774,954.31875
2009,953.878125,952.9620689655173,953.415625,954.9516129032259,956.803125,957.0032258064516,958.196875,957.290625,958.167741935484,955.53125,954.7290322580644,953.984375
2010,952.696875,952.5034482758621,953.834375,955.9516129032259,956.865625,958.6483870967742,960.0,958.1625,958.2354838709678,957.296875,955.5677419354838,954.45625
2011,952.83125,953.5034482758621,954.696875,955.9064516129032,956.15625,957.2322580645161,957.7625,958.7375,958.167741935484,956.5375,955.0064516129032,953.534375
2012,953.703125,952.8333333333334,952.721875,955.2451612903226,955.6125,956.925806451613,957.975,958.04375,957.0677419354838,956.275,954.7838709677419,953.9375
2013,952.903125,953.0862068965517,954.125,955.5258064516129,957.16875,957.5612903225807,957.48125,958.6875,957.7774193548387,955.896875,955.1419354838711,953.45625
2014,953.115625,953.2413793103449,954.415625,955.7548387096774,956.99375,957.2129032258064,958.340625,957.221875,957.3935483870968,955.665625,955.8129032258065,954.415625
2015,953.10625,953.5,953.85625,954.5677419354838,956.440625,957.5032258064516,958.015625,956.0375,956.5806451612904,956.45625,954.9322580645162,953.1129032258065
2016,953.990625,952.73,954.5125,955.7387096774194,956.546875,958.4645161290323,957.628125,958.68125,957.3096774193548,956.3625,955.0,954.25625
2017,953.234375,953.6310344827587,954.2375,955.816129032258,956.790625,957.5999999999999,958.8125,958.85625,958.2709677419356,956.9125,955.016129032258,953.928125
2018,953.3625,953.8620689655172,954.034375,955.7741935483871,957.459375,958.6709677419354,957.809375,958.4375,956.9129032258064,956.84375,955.0709677419355,954.540625
2019,953.590625,952.9827586206897,954.234375,956.0677419354838,956.68125,958.1354838709677,959.0,959.115625,956.9225806451612,956.828125,954.5838709677419,953.728125
2020,953.553125,953.6666666666666,954.534375,956.1258064516129,957.159375,957.9129032258064,958.94375,958.1875,957.7935483870967,956.290625,955.9064516129032,954.571875
2021,953.609375,953.9413793103448,954.409375,955.1483870967742,957.778125,958.3806451612903,958.315625,958.421875,958.1806451612903,956.771875,955.5838709677419,954.121875
2022,954.634375,954.5137931034483,954.88125,955.8548387096774,957.346875,958.0290322580646,957.940625,958.69375,958.9129032258064,957.221875,955.0096774193548,953.925
2023,954.346875,952.7931034482758,954.165625,955.1548387096774,956.821875,958.1645161290322,957.65,957.621875,957.483870967742,956.50625,955.3483870967742,954.0
2024,953.928125,953.9300000000001,954.509375,956.0516129032258,957.775,957.3290322580646,958.675,959.375,957.7,956.209375,956.0322580645161,954.596875
