Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1920,12.174193548387096,11.182758620689656,10.041935483870969,6.893333333333333,5.832258064516129,3.8400000000000003,1.6290322580645165,3.703225806451613,5.706666666666666,6.419354838709676,9.583333333333334,11.3741935483871
1921,11.561290322580644,10.464285714285714,9.141935483870967,6.413333333333333,7.551612903225806,0.42999999999999994,1.0258064516129033,3.5903225806451613,4.833333333333332,7.7774193548387105,10.083333333333336,10.43225806451613
1922,14.425806451612903,10.617857142857144,9.270967741935483,5.2299999999999995,4.141935483870968,2.8833333333333333,3.5967741935483875,3.2387096774193544,6.329999999999999,7.219354838709678,9.02,10.935483870967742
1923,12.387096774193548,10.707142857142857,9.193548387096774,6.473333333333334,2.1387096774193552,3.1133333333333337,1.861290322580645,4.0612903225806445,5.746666666666667,6.8419354838709685,9.819999999999999,9.561290322580646
1924,11.680645161290323,10.862068965517242,9.829032258064515,6.093333333333333,2.670967741935484,2.0366666666666666,2.2000000000000006,2.106451612903226,4.7766666666666655,7.9,8.426666666666668,11.048387096774192
1925,12.080645161290322,10.749999999999998,9.751612903225807,6.703333333333333,4.241935483870969,3.43,4.048387096774194,4.674193548387097,7.4799999999999995,7.47741935483871,10.05,11.44838709677419
1926,13.041935483870965,12.642857142857139,11.658064516129029,8.333333333333332,5.3032258064516125,5.256666666666667,3.7838709677419358,4.177419354838711,5.863333333333333,9.112903225806452,8.763333333333332,11.17741935483871
1927,12.206451612903226,13.146428571428572,10.851612903225806,7.010000000000002,3.616129032258064,4.8100000000000005,3.064516129032258,4.341935483870968,5.3066666666666675,7.848387096774195,9.296666666666665,10.406451612903224
1928,11.370967741935484,11.63103448275862,9.89032258064516,7.033333333333333,5.583870967741936,4.003333333333333,3.7032258064516124,4.058064516129032,5.420000000000001,7.064516129032257,9.746666666666666,10.464516129032257
1929,11.632258064516128,11.499999999999998,8.693548387096774,7.9,4.603225806451613,4.6499999999999995,2.9419354838709677,3.8645161290322583,5.946666666666668,6.677419354838711,9.890000000000002,11.380645161290323
1930,12.63548387096774,12.489285714285716,11.396774193548387,9.276666666666666,6.84516129032258,6.283333333333332,5.44516129032258,6.170967741935483,9.459999999999999,8.600000000000001,11.463333333333335,11.938709677419354
1931,13.606451612903225,14.317857142857145,11.451612903225804,8.866666666666667,4.829032258064517,4.973333333333334,3.5483870967741935,4.874193548387097,6.226666666666666,9.032258064516126,9.24,13.13225806451613
1932,13.361290322580647,12.910344827586206,10.561290322580644,8.763333333333334,5.361290322580646,5.703333333333333,5.506451612903226,4.012903225806451,5.536666666666665,8.36774193548387,9.596666666666666,10.858064516129032
1933,13.164516129032258,12.714285714285714,9.82258064516129,7.326666666666667,6.793548387096774,3.556666666666666,1.306451612903226,5.335483870967743,5.6933333333333325,7.738709677419355,9.473333333333331,10.822580645161288
1934,12.454838709677418,11.342857142857142,9.94516129032258,6.496666666666667,6.341935483870968,5.373333333333333,3.0483870967741935,4.651612903225807,6.206666666666666,6.3741935483870975,9.246666666666666,10.509677419354837
1935,12.519354838709676,11.775,10.354838709677422,7.509999999999999,6.761290322580645,3.24,1.3483870967741935,4.919354838709678,4.880000000000001,5.406451612903226,10.106666666666667,10.474193548387097
1936,11.783870967741937,11.744827586206897,9.912903225806451,9.233333333333333,6.6967741935483875,3.7566666666666664,3.0483870967741935,3.383870967741935,5.550000000000001,7.009677419354839,9.276666666666666,10.729032258064517
